bridgeId,name,state,region,lga,latitude,longitude,structureType,material,yearBuilt,spanLengthM,totalLengthM,clearanceHeightM,numberOfSpans,numberOfLanes,condition,conditionRating,conditionRatingTfnsw,postingStatus,assetOwner,maintenanceAuthority,scourRisk,floodImpacted,floodImmunityAri,hmlApproved,bdoubleApproved,freightRoute,overMassRoute,nhvrRouteAssessed,pbsApprovalClass,networkClassification,importanceLevel,seismicZone,aadt,heavyVehiclePercentage,highPriorityAsset,remarks,isActive,dataSource,sourceReferenceUrl,openDataReference,geoJson
BRG-VIC-003,Bolte Bridge,VIC,Greater Melbourne,Melbourne City,-37.819472,144.932250,Box Girder,Prestressed Concrete and Steel,1999,173,490,12.5,2,8,GOOD,2,2,UNRESTRICTED,Department of Transport and Planning,Transurban,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 1,120000,21.1,true,"Twin cantilever bridge on CityLink over Yarra River. Privately operated toll motorway. Major freight and logistics corridor.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""LineString"",""coordinates"":[[144.928,-37.819],[144.937,-37.819]]}"
BRG-VIC-004,McKillops Bridge,VIC,Hume,East Gippsland,-37.083806,148.413528,Truss,Concrete and Timber,1936,255,255,,1,1,POOR,4,3,RESTRICTED,Department of Transport and Planning,Department of Transport and Planning,Medium,true,20,false,false,false,false,false,Not Assessed,Permit,Important,Zone 2,500,5.0,true,"Remote heritage bridge over Snowy River at Deddick Valley. Load restricted for heavy vehicles. One lane. Seasonal scour risk.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[148.413528,-37.083806]}"
BRG-VIC-005,Noojee Trestle Bridge,VIC,Gippsland,Baw Baw,-37.900528,145.984333,Trestle,Timber,1919,102,102,,1,1,FAIR,3,2,UNRESTRICTED,Parks Victoria,Parks Victoria,Low,false,50,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,2000,1.0,false,"Heritage timber railway trestle bridge. Now used as tourist walking track. Originally part of Noojee branch line.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.984333,-37.900528]}"
BRG-VIC-006,Maribyrnong River Viaduct,VIC,Greater Melbourne,Maribyrnong,-37.747333,144.846111,Viaduct,Steel,1929,383,383,,5,2,FAIR,2,2,UNRESTRICTED,VicRoads,Department of Transport and Planning,Low,false,50,false,false,false,false,true,General Access,Notice,Important,Zone 1,18000,10.0,false,"Steel trestle viaduct over Maribyrnong River on Western Ring Road. Heritage industrial structure.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[144.846111,-37.747333]}"
BRG-VIC-007,Keilor-Derrimut Road Rail Bridge (SN0325),VIC,Greater Melbourne,Brimbank,-37.727752,144.793263,Rail Overpass,Steel,,,,4.5,1,,GOOD,1,1,UNRESTRICTED,V/Line,V/Line,Low,false,100,false,false,false,false,true,Not Assessed,Notice,Ordinary,Zone 1,,,false,"Rail overpass structure over Keilor-Derrimut Rd. Source: VIC open data structure ID SN0325.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[144.793263,-37.727752]}"
BRG-VIC-008,Mullum Mullum Creek Bridge (EastLink SN1081),VIC,Greater Melbourne,Knox,-37.813371,145.215808,Box Girder,Concrete,,,,,4,4,GOOD,1,1,UNRESTRICTED,Transurban,Department of Transport and Planning,Low,false,100,true,true,true,false,true,Level 4,Notice,Essential,Zone 1,85000,15.0,false,"EastLink Tollway bridge over Mullum Mullum Creek. Source: VIC open data structure ID SN1081.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.215808,-37.813371]}"
BRG-VIC-009,Deep Creek South Bridge (SN0630),VIC,Greater Melbourne,Frankston,-38.145203,145.487378,Box Girder,Precast Concrete,,,,,1,1,GOOD,1,2,UNRESTRICTED,VicRoads,Department of Transport and Planning,Medium,true,20,false,false,false,false,false,Not Assessed,Notice,Ordinary,Zone 1,5000,5.0,false,"Road over Deep Creek South culvert structure on metropolitan road. Source: VIC open data structure ID SN0630.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.487378,-38.145203]}"
BRG-QLD-001,Story Bridge,QLD,South East Queensland,Brisbane City,-27.463611,153.035750,Cantilever,Steel,1940,282,777,18.0,3,6,FAIR,3,2,RESTRICTED,Brisbane City Council,Brisbane City Council,Medium,true,50,false,true,true,false,false,Level 2,Permit,Essential,Zone 2,100000,14.75,true,"Heritage-listed cantilever truss bridge over Brisbane River. Speed and load restrictions apply. Deck condition monitoring active.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Story_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[153.031,-27.463],[153.041,-27.463]]}"
BRG-QLD-002,Captain Cook Bridge,QLD,South East Queensland,Brisbane City,-27.480917,153.029361,Box Girder,Prestressed Concrete,1972,183,555,,3,4,GOOD,2,2,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Medium,false,50,true,false,true,false,true,Level 3,Notice,Essential,Zone 2,75000,12.0,false,"Prestressed concrete box girder over Brisbane River. Carries Pacific Motorway traffic. Major freight corridor.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Captain_Cook_Bridge_(Brisbane),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.029361,-27.480917]}"
BRG-QLD-003,William Jolly Bridge,QLD,South East Queensland,Brisbane City,-27.468528,153.015528,Arch Bridge,Concrete,1932,500,500,,1,4,FAIR,2,2,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Low,false,100,false,false,false,false,true,General Access,Notice,Important,Zone 2,40000,5.0,false,"Concrete arch bridge over Brisbane River. Heritage-listed. Part of the Brisbane central road network.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/William_Jolly_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.015528,-27.468528]}"
BRG-QLD-004,Kurilpa Bridge,QLD,South East Queensland,Brisbane City,-27.469361,153.018194,Cable-stayed,Steel,2009,135,425,,3,,GOOD,1,1,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 2,15000,0.5,false,"World's largest tensegrity pedestrian bridge over Brisbane River. Cable-stayed tensegrity structure. Pedestrians and cyclists only.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Kurilpa_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.018194,-27.469361]}"
BRG-QLD-005,Sir Leo Hielscher Bridges,QLD,South East Queensland,Brisbane City,-27.445278,153.101222,Box Girder,Prestressed Concrete,2010,260,1630,,6,8,GOOD,1,1,UNRESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 2,120000,22.0,true,"Twin box girder bridges over Brisbane River at Gateway Motorway. Key port freight route to Port of Brisbane.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Sir_Leo_Hielscher_Bridges,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[153.095,-27.445],[153.107,-27.445]]}"
BRG-QLD-006,Houghton Highway Bridge,QLD,South East Queensland,Moreton Bay,-27.274806,153.070583,Beam Bridge,Prestressed Concrete,1979,,2740,,40,4,GOOD,2,2,UNRESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,Low,false,100,true,true,true,false,true,Level 3,Notice,Essential,Zone 2,55000,14.0,false,"Long prestressed concrete beam bridge over Bramble Bay connecting Redcliffe Peninsula. Key freight access route.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Houghton_Highway,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.070583,-27.274806]}"
BRG-QLD-007,Ted Smout Memorial Bridge,QLD,South East Queensland,Moreton Bay,-27.275028,153.070999,Beam Bridge,Prestressed Concrete,2010,,2740,,40,4,GOOD,1,1,UNRESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,Low,false,100,true,true,true,false,true,Level 3,Notice,Essential,Zone 2,55000,14.0,false,"Second Houghton Highway crossing over Bramble Bay. New 2010 parallel structure to Houghton Highway bridge.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Ted_Smout_Memorial_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.070999,-27.275028]}"
BRG-QLD-008,Dickabram Bridge,QLD,Wide Bay Burnett,Gympie,-25.954028,152.495417,Truss,Steel and Timber,1886,191,191,,2,1,POOR,4,3,RESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,High,true,10,false,false,false,false,false,Not Assessed,Permit,Important,Zone 2,800,6.0,true,"Heritage rail-era road bridge over Mary River. Single lane. Weight restricted. Flood-prone. Scour risk monitored.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Dickabram_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[152.495417,-25.954028]}"
BRG-QLD-009,Victoria Bridge Brisbane,QLD,South East Queensland,Brisbane City,-27.472333,153.021194,Box Girder,Prestressed Concrete,1969,146,313,,2,4,FAIR,2,2,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Low,false,100,false,false,false,false,true,General Access,Notice,Essential,Zone 2,65000,4.5,false,"Prestressed concrete bridge over Brisbane River in CBD. Restricted to buses and pedestrians in peak times.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Victoria_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.021194,-27.472333]}"
BRG-QLD-010,Albert Bridge Indooroopilly,QLD,South East Queensland,Brisbane City,-27.505944,152.973194,Truss,Steel,1895,104,208,,2,2,FAIR,3,2,RESTRICTED,Queensland Rail,Queensland Rail,Low,false,50,false,false,false,false,false,Not Assessed,Permit,Important,Zone 2,50,0.0,false,"Historic steel truss rail bridge over Brisbane River at Indooroopilly. Heritage listed. Restricted to light rail traffic.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Albert_Bridge_(Brisbane),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[152.973194,-27.505944]}"
BRG-TAS-001,Richmond Bridge,TAS,Hobart Region,Clarence,-42.733861,147.440000,Masonry Arch,Sandstone,1825,41,41,,6,2,GOOD,2,2,RESTRICTED,Department of State Growth,Department of State Growth,Low,false,100,false,false,false,false,false,Not Assessed,Permit,Critical,Zone 2,3500,3.0,true,"Oldest bridge in Australia still carrying traffic (1825). Six sandstone arches over Coal River. Weight restricted for heritage preservation.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Richmond_Bridge_(Tasmania),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[147.440000,-42.733861]}"
BRG-TAS-002,Ross Bridge,TAS,Midlands,Northern Midlands,-41.030750,147.489750,Masonry Arch,Masonry,1836,,,,3,2,GOOD,2,2,RESTRICTED,Department of State Growth,Department of State Growth,Low,false,100,false,false,false,false,false,Not Assessed,Permit,Essential,Zone 2,2000,4.0,false,"Historic convict-built sandstone arch bridge over Macquarie River. Renowned carved decorations. Heritage listed. Weight restricted.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Ross_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[147.489750,-41.030750]}"
BRG-TAS-003,Red Bridge,TAS,Midlands,Northern Midlands,-41.932972,147.492750,Masonry Arch,Brick,1838,,,,5,2,GOOD,2,2,RESTRICTED,Department of State Growth,Department of State Growth,Low,false,50,false,false,false,false,false,Not Assessed,Permit,Essential,Zone 2,2500,3.5,false,"Historic convict-built brick arch bridge over Elizabeth River at Campbell Town. Heritage listed. Weight restricted.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Red_Bridge_(Tasmania),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[147.492750,-41.932972]}"
BRG-TAS-004,Tasman Bridge,TAS,Hobart Region,Hobart City,-42.865000,147.342500,Box Girder,Prestressed Concrete,1964,100,1396,18.0,14,4,POOR,4,3,UNDER REVIEW,Department of State Growth,Department of State Growth,High,true,20,false,false,false,false,false,Not Assessed,Permit,Critical,Zone 2,67000,11.8,true,"Prestressed concrete box girder bridge over River Derwent. Monitoring scour and resilience upgrades. Partially sunk in 1975 lake disaster; rebuilt 1977.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Tasman_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[147.333,-42.865],[147.365,-42.865]]}"
BRG-TAS-005,Bowen Bridge,TAS,Hobart Region,Hobart City,-42.817528,147.307361,Box Girder,Prestressed Concrete,1984,109,976,,8,4,FAIR,2,2,UNRESTRICTED,Department of State Growth,Department of State Growth,Low,false,100,true,false,true,false,true,Level 2,Notice,Essential,Zone 2,45000,10.5,false,"Prestressed concrete box girder bridge over River Derwent providing a northern bypass of Hobart CBD.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Bowen_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[147.307361,-42.817528]}"
BRG-SA-001,South Road Superway,SA,Greater Adelaide,Port Adelaide Enfield,-34.849778,138.564611,Box Girder,Prestressed Concrete,2014,,2800,,24,4,GOOD,1,1,UNRESTRICTED,Department for Infrastructure and Transport SA,Department for Infrastructure and Transport SA,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 1,95000,18.0,false,"Elevated motorway structure on South Road. Key freight route for Port Adelaide. Part of North-South Motorway corridor.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/South_Road_Superway,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[138.558,-34.849],[138.571,-34.849]]}"
BRG-SA-002,Algebuckina Bridge,SA,Outback,Unincorporated Far North,-28.250000,135.600000,Beam Bridge,Steel and Concrete,1892,,578,,16,1,POOR,4,3,RESTRICTED,Department for Infrastructure and Transport SA,Department for Infrastructure and Transport SA,Medium,true,10,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,200,5.0,true,"Longest bridge in South Australia (578m) over Neale River on old Ghan railway. Heritage listed. Weight restricted. Remote location.",true,Wikipedia – Top Australian Bridges,https://en.wikipedia.org/wiki/Algebuckina_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[135.600000,-28.250000]}"
BRG-WA-001,Matagarup Bridge,WA,Perth Metro,City of Perth,-31.954500,115.885361,Arch Bridge,Steel,2018,160,370,,1,,GOOD,1,1,UNRESTRICTED,Main Roads WA,Main Roads WA,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,8000,1.0,false,"Cable net pedestrian and cycling bridge over Swan River to Optus Stadium. Modern steel arch structure opened 2018.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Matagarup_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[115.885361,-31.954500]}"
BRG-WA-002,Narrows Bridge,WA,Perth Metro,City of South Perth,-31.972778,115.847778,Box Girder,Prestressed Concrete,1959,160,800,,5,6,FAIR,2,2,UNRESTRICTED,Main Roads WA,Main Roads WA,Low,false,100,true,true,true,false,true,Level 3,Notice,Critical,Zone 1,120000,12.0,false,"Prestressed concrete box girder over Swan River Narrows. Key Perth CBD link. Major freight route.",true,Main Roads WA,https://www.mainroads.wa.gov.au/roads-infrastructure/roads/narrows-bridge,https://en.wikipedia.org/wiki/Narrows_Bridge_(Perth),"{""type"":""LineString"",""coordinates"":[[115.842,-31.972],[115.853,-31.972]]}"
BRG-WA-003,Fremantle Traffic Bridge,WA,Perth Metro,Fremantle,-32.049722,115.748611,Truss,Steel,1939,100,300,,3,2,POOR,4,3,RESTRICTED,Main Roads WA,Main Roads WA,Low,false,100,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,18000,8.0,true,"Heritage steel truss road bridge over Swan River at Fremantle. Load restricted. Bypass bridge now primary route.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Fremantle_Traffic_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[115.748611,-32.049722]}"
BRG-ACT-001,Kings Avenue Bridge,ACT,Australian Capital Territory,Canberra Central,-35.299722,149.139167,Arch Bridge,Concrete,1962,170,280,,2,4,GOOD,2,2,UNRESTRICTED,Transport Canberra and City Services,Transport Canberra and City Services,Low,false,100,true,false,true,false,true,Level 3,Notice,Essential,Zone 1,55000,8.0,false,"Concrete arch bridge over Lake Burley Griffin on Kings Avenue. Key Canberra ceremonial route and freight link.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Kings_Avenue_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[149.139167,-35.299722]}"
BRG-ACT-002,Commonwealth Avenue Bridge,ACT,Australian Capital Territory,Canberra Central,-35.289167,149.128889,Arch Bridge,Concrete,1963,220,400,,4,6,GOOD,2,2,UNRESTRICTED,Transport Canberra and City Services,Transport Canberra and City Services,Low,false,100,true,true,true,false,true,Level 3,Notice,Essential,Zone 1,75000,10.0,false,"Concrete arch bridge over Lake Burley Griffin on Commonwealth Avenue. CBD access and freight route.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Commonwealth_Avenue_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[149.128889,-35.289167]}"
